ra,dec,st_pmra,st_pmraerr1,st_pmraerr2,st_pmralim,st_pmdec,st_pmdecerr1,st_pmdecerr2,st_pmdeclim,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_trandurh,pl_trandurherr1,pl_trandurherr2,pl_trandurhlim,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_insol,pl_eqt,st_tmag,st_tmagerr1,st_tmagerr2,st_tmaglim,st_dist,st_disterr1,st_disterr2,st_distlim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_rad,st_raderr1,st_raderr2,st_radlim
248.021696,-68.24033,8.183,0.031,-0.031,0.0,-5.636,0.054,-0.054,0.0,3.8249546,1.4e-05,-1.4e-05,0,3.874,0.187,-0.187,0,7630.0,2.79008,-2.79008,0,15.0897,0.811209,-0.811209,0,1068.52,1592.0,12.5451,0.006,-0.006,0,841.734,23.0865,-23.0865,0,6341.2,114.6,-114.6,0,4.08,0.09,-0.09,0,1.69,0.08,-0.08,0
293.871914,38.422918,-0.298,0.045,-0.045,0.0,-6.646,0.055,-0.055,0.0,1.6255124,1.59e-05,-1.59e-05,0,2.6590029,0.2352588,-0.2352588,0,10095.3614497,746.6269,-746.6269,0,11.2971803,0.7784328,-0.7784328,0,1238.8661223,1513.1286131,14.4669,0.011,-0.011,0,938.715,30.934,-30.934,0,5483.74,114.91,-114.91,0,4.38272,0.08456055000000001,-0.08456055000000001,0,1.04426,0.06,-0.06,0
277.708844,60.451218,-0.374,0.127,-0.127,0.0,-20.871,0.134,-0.134,0.0,170.3363911,0.0004582,-0.0004582,0,4.173,0.846,-0.846,0,12411.0,1593.89,-1593.89,0,11.6916,1.02907,-1.02907,0,0.817488,264.0,12.8771,0.007,-0.007,0,485.38,13.571,-13.571,0,5621.0,125.5,-125.5,0,4.46,0.08,-0.08,0,0.97,0.06,-0.06,0
178.054473,-27.517679,8.064,0.035,-0.035,0.0,-6.277,0.019,-0.019,0.0,5.1057571,1.79e-05,-1.79e-05,0,2.616,0.126,-0.126,0,10840.0,8.50038,-8.50038,0,10.9206,0.7174066,-0.7174066,0,144.847,966.0,13.2733,0.007,-0.007,0,555.622,7.893,-7.893,0,5495.2,65.8,-65.8,0,4.41,0.08456055000000001,-0.08456055000000001,0,1.01,0.06,-0.06,0
169.958638,-51.866071,-45.152,0.042,-0.042,0.0,-1.157,0.045,-0.045,0.0,6.6570835,3e-06,-3e-06,0,5.285,0.129,-0.129,0,7164.0,59.8202,-59.8202,0,14.8934,0.684568,-0.684568,0,528.884,1336.0,10.1405,0.006,-0.006,0,268.254,2.1125,-2.1125,0,5805.6,289.6,-289.6,0,4.13,0.32,-0.32,0,1.73,0.08,-0.08,0
342.661461,60.770111,-6.566,0.023,-0.023,0.0,-22.515,0.022,-0.022,0.0,4.4921154,3.9e-06,-3.9e-06,0,3.108,0.086,-0.086,0,19562.0,486.598,-486.598,0,14.9094,0.850558,-0.850558,0,223.672,1077.0,12.7594,0.028,-0.028,0,426.94,2.5875,-2.5875,0,5353.0,202.7,-202.7,0,4.34,0.09,-0.09,0,1.08,0.06,-0.06,0
85.704592,-25.996545,-10.654,0.028,-0.028,0.0,-7.534,0.036,-0.036,0.0,3.6364993,2.8e-06,-2.8e-06,0,3.509,0.04,-0.04,0,16700.0,0.491401,-0.491401,0,16.4306,0.782017,-0.782017,0,977.668,1557.0,12.7063,0.008,-0.008,0,718.493,11.6905,-11.6905,0,6552.0,134.2,-134.2,0,4.39,0.09,-0.09,0,1.23,0.06,-0.06,0
164.141735,-57.704427,-9.537,0.03,-0.03,0.0,3.586,0.027,-0.027,0.0,2.1439841,5.1e-06,-5.1e-06,0,1.793,0.264,-0.264,0,13382.0,841.6,-841.6,0,16.8452,0.7174066,-0.7174066,0,968.251,1554.0,13.1074,0.006,-0.006,0,957.246,19.1395,-19.1395,0,6788.0,122.0,-122.0,0,4.29,0.08456055000000001,-0.08456055000000001,0,1.44,0.06,-0.06,0
86.068595,28.791551,-0.146,0.051,-0.051,0.0,-5.434,0.04,-0.04,0.0,3.0604071,0.0001306,-0.0001306,0,3.175,0.172,-0.172,0,12460.0,4.69041,-4.69041,0,18.6847,0.7174066,-0.7174066,0,1261.17,1660.0,13.176,0.018,-0.018,0,1030.07,37.1705,-37.1705,0,6623.0,123.0,-123.0,0,4.14,0.08456055000000001,-0.08456055000000001,0,1.67,0.06,-0.06,0
199.021029,-33.76396,-25.369,0.063,-0.063,0.0,-7.35,0.069,-0.069,0.0,1.2709769,8.7e-06,-8.7e-06,0,2.335,0.328,-0.328,0,1400.0,2.12756,-2.12756,0,4.10761,0.257518,-0.257518,0,4096.84,2228.0,11.7959,0.006,-0.006,0,418.251,6.009,-6.009,0,6296.0,125.8,-125.8,0,4.39,0.08,-0.08,0,1.17,0.05,-0.05,0
282.101495,15.49419,-3.182,0.069,-0.069,0.0,-18.668,0.074,-0.074,0.0,2.8465928,1.99e-05,-1.99e-05,0,2.664,0.459,-0.459,0,2110.0,166.756,-166.756,0,8.8779,2.80583,-2.80583,0,536.42,1340.0,11.8512,0.006,-0.006,0,487.216,9.4445,-9.4445,0,5308.0,134.1,-134.1,0,3.82,0.08,-0.08,0,1.94,0.11,-0.11,0
231.955685,-56.319054,-7.576,0.089,-0.089,0.0,-45.498,0.074,-0.074,0.0,3.3784364,1.24e-05,-1.24e-05,0,2.165,0.922,-0.922,0,1232.0,118.114,-118.114,0,5.0917,0.359502,-0.359502,0,803.224,1483.0,10.3593,0.006,-0.006,0,253.221,2.875,-2.875,0,6311.0,129.8,-129.8,0,4.23,0.09,-0.09,0,1.41,0.06,-0.06,0
295.351296,-76.219867,6.436,0.025,-0.025,0.0,-16.652,0.027,-0.027,0.0,3.2738129,1.8e-05,-1.8e-05,0,3.306,0.174,-0.174,0,13200.0,6.06985,-6.06985,0,14.6729,0.7174066,-0.7174066,0,786.258,1475.0,13.2152,0.006,-0.006,0,748.416,10.6145,-10.6145,0,5976.0,123.0,-123.0,0,4.27,0.08456055000000001,-0.08456055000000001,0,1.27,0.06,-0.06,0
166.118147,30.458576,-163.272,0.105,-0.105,0.0,-40.435,0.131,-0.131,0.0,0.5019031,1.87e-05,-1.87e-05,0,0.9470423,0.1726267,-0.1726267,0,1536.5683135,211.42867,-211.42867,0,1.8451862,0.2417205,-0.2417205,0,201.7325126,961.1999156,12.6196,0.008,-0.008,0,55.5211,0.1999,-0.1999,0,3272.0,157.0,-157.0,0,4.82521,0.0034367,-0.0034367,0,0.401575,0.0119287,-0.0119287,0
152.992107,-59.753708,-5.818,0.135,-0.135,0.0,2.821,0.122,-0.122,0.0,0.6771668,1e-06,-1e-06,0,1.4,0.16,-0.16,0,1095.0,52.669,-52.669,0,10.544,0.7174066,-0.7174066,0,328.225,1185.0,10.4321,0.029,-0.029,0,5724.18,2093.32,-2093.32,0,3194.0,122.0,-122.0,0,4.33,0.08456055000000001,-0.08456055000000001,0,1.23434,0.06,-0.06,0
110.369675,-45.567737,-9.997,0.042,-0.042,0.0,11.584,0.048,-0.048,0.0,1.1203828,1.2e-06,-1.2e-06,0,1.665,0.304,-0.304,0,1901.0,106.0,-106.0,0,5.96207,0.339687,-0.339687,0,4388.96,2267.0,10.2761,0.006,-0.006,0,294.281,2.179,-2.179,0,6564.4,178.0,-178.0,0,4.26,0.09,-0.09,0,1.47,0.06,-0.06,0
161.949345,-59.033182,-7.222,0.048,-0.048,0.0,0.753,0.047,-0.047,0.0,7.4365725,4.21e-05,-4.21e-05,0,2.774,0.87,-0.87,0,5020.0,20.1115,-20.1115,0,17.5053,1.39843,-1.39843,0,1178.73,1632.0,11.686,0.006,-0.006,0,1269.3,49.52,-49.52,0,9230.0,175.8,-175.8,0,4.09,0.07,-0.07,0,2.29,0.11,-0.11,0
183.961977,47.427994,-11.293,0.031,-0.031,0.0,-3.667,0.042,-0.042,0.0,2.071333,0.0008772,-0.0008772,0,2.282,0.41,-0.41,0,1920.0,5.92043,-5.92043,0,6.35115,0.505465,-0.505465,0,1179.85,1632.0,11.8825,0.007,-0.007,0,509.299,8.689,-8.689,0,6004.0,128.1,-128.1,0,4.17,0.08,-0.08,0,1.44,0.07,-0.07,0
302.038459,-76.13625,8.223,0.033,-0.033,0.0,-1.424,0.039,-0.039,0.0,3.4414188,0.0003794,-0.0003794,0,3.0026348,0.1172254,-0.1172254,0,7380.9342568,265.4622,-265.4622,0,12.4943419,0.8161452,-0.8161452,0,1100.0792751,1468.8442425,12.3872,0.006,-0.006,0,584.723,8.709,-8.709,0,5965.0,129.887,-129.887,0,4.16451,0.0814945,-0.0814945,0,1.43051,0.0689849,-0.0689849,0
89.288232,14.878993,0.26,0.114,-0.114,0.0,4.116,0.101,-0.101,0.0,2.4361097,5.6e-06,-5.6e-06,0,1.095,0.278,-0.278,0,840.0,1.82257,-1.82257,0,7.79741,0.573809,-0.573809,0,807.375,1485.0,10.0704,0.006,-0.006,0,450.49,15.0935,-15.0935,0,7182.5,135.7,-135.7,0,3.91,0.1,-0.1,0,2.33,0.14,-0.14,0
186.085306,-6.378954,-18.592,0.079,-0.079,0.0,-14.043,0.046,-0.046,0.0,4.0035773,0.000888,-0.000888,0,2.0958153,0.2947518,-0.2947518,0,14273.8513137,1139.4954,-1139.4954,0,12.9627879,1.9405705,-1.9405705,0,365.8185403,1115.4142221,14.1768,0.008,-0.008,0,876.565,27.908,-27.908,0,5318.0,122.0,-122.0,0,4.33106,0.08456055000000001,-0.08456055000000001,0,1.08492,0.06,-0.06,0
237.806582,29.44792,-3.784,0.042,-0.042,0.0,8.121,0.06,-0.06,0.0,3.0513298,0.0013678,-0.0013678,0,1.4911246,0.2257237,-0.2257237,0,23465.9068147,3597.9634,-3597.9634,0,11.1893597,1.447511,-1.447511,0,73.7445561,747.3985328,14.4804,0.007,-0.007,0,349.473,3.9085,-3.9085,0,3937.0,157.0,-157.0,0,4.60668,0.0124596,-0.0124596,0,0.653572,0.0200799,-0.0200799,0
343.041493,35.447178,74.747,0.063,-0.063,0.0,15.048,0.054,-0.054,0.0,3.076329,5.4e-05,-5.4e-05,0,3.9016058,0.0201032,-0.0201032,0,9490.8396842,52.363537,-52.363537,0,14.2287485,0.6003562,-0.6003562,0,1519.96446,1592.4951117,9.7758,0.006,-0.006,0,211.553,1.6955,-1.6955,0,6401.79,103.038,-103.038,0,4.23563,0.0839922,-0.0839922,0,1.4311,0.0598895,-0.0598895,0
225.380859,38.533274,-1.571,0.051,-0.051,0.0,-3.469,0.049,-0.049,0.0,3.9967263,6.9e-06,-6.9e-06,0,2.886,0.201,-0.201,0,12060.0,4.26926,-4.26926,0,11.278,1.23484,-1.23484,0,265.248,1124.0,12.0753,0.006,-0.006,0,365.00800000000004,4.30475,-4.30475,0,5313.6,49.6,-49.6,0,4.33,0.08456055000000001,-0.08456055000000001,0,1.0,0.11,-0.11,0
206.327123,-50.480521,-3.74,0.055,-0.055,0.0,5.861,0.056,-0.056,0.0,3.8600722,8e-06,-8e-06,0,1.93,0.088,-0.088,0,16960.0,10.2751,-10.2751,0,10.5393,0.762034,-0.762034,0,97.2691,874.0,12.8713,0.006,-0.006,0,304.365,3.3155,-3.3155,0,5096.5,131.3,-131.3,0,4.59,0.09,-0.09,0,0.77,0.05,-0.05,0
